rsID,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,Gene,traitName,efoTraits,bgTraits,accessionId,locations,pubmedId,author,Chromosome,Position
rs7556897-A,3e-08,(EA),0.66,1.0756639,,-,"SNRPGP8,CCL20",Ulcerative colitis,ulcerative colitis,-,GCST003045,2:227795396,26192919,Liu JZ,2,227795396.0
rs1016883-G,3e-08,-,0.817,1.1,,[1.051-1.15],PLCL1,Ulcerative colitis,ulcerative colitis,-,GCST001728,2:198016944,23128233,Jostins L,2,198016944.0
rs254560-?,3e-08,-,NR,-,,-,PITX1-AS1,Ulcerative colitis,ulcerative colitis,-,GCST004133,5:135107916,28067908,de Lange KM,5,135107916.0
rs138788-A,3e-08,-,0.418,1.09,,[1.06–1.13],TOM1,Ulcerative colitis,ulcerative colitis,-,GCST004133,22:35333728,28067908,de Lange KM,22,35333728.0
rs4728142-A,3e-08,-,0.11,1.4,,-,"KCP,IRF5",Ulcerative colitis,ulcerative colitis,-,GCST008483,7:128933913,26398853,Ye BD,7,128933913.0
rs886774-G,3e-08,-,0.41,1.11,,[1.03-1.19],"DLD,PIGCP2",Ulcerative colitis,ulcerative colitis,-,GCST000527,7:107854989,19915572,Barrett JC,7,107854989.0
rs56116661-?,3e-08,-,NR,-,0.0884,[0.057-0.12],LPP,Ulcerative colitis,ulcerative colitis,-,GCST90446794,3:188683372,37156999,Liu Z,3,188683372.0
rs1728785-?,4e-08,-,NR,-,,-,ZFP90,Ulcerative colitis,ulcerative colitis,-,GCST004133,16:68557327,28067908,de Lange KM,16,68557327.0
rs11750385-?,4e-08,(subset analysis),NR,-,,-,"ROPN1L,LINC02213","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:10521556,26974007,Ellinghaus D,5,10521556.0
rs12138864-?,4e-08,-,NR,-,0.0646,[0.041-0.088],PHC2,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:33337547,37156999,Liu Z,1,33337547.0
rs6499188-A,4e-08,-,0.75,1.14,,[1.09-1.20],CDH3,Ulcerative colitis,ulcerative colitis,-,GCST000964,16:68640885,21297633,Anderson CA,16,68640885.0
rs4976646-?,4e-08,-,NR,-,,-,RGS14,Ulcerative colitis,ulcerative colitis,-,GCST004133,5:177361569,28067908,de Lange KM,5,177361569.0
rs11548656-?,4e-08,-,NR,-,0.1932,[0.12-0.26],PLCG2,Ulcerative colitis,ulcerative colitis,-,GCST90446794,16:81883307,37156999,Liu Z,16,81883307.0
rs3823418-A,4e-08,-,NR,0.858,,[0.813-0.906],PSORS1C1,Ulcerative colitis,ulcerative colitis,-,GCST90301321,6:31133165,37262302,Khrom M,6,31133165.0
rs568617-?,4e-08,(subset analysis),NR,-,,-,FIBP,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:65885771,26974007,Ellinghaus D,11,65885771.0
rs17736589-G,4e-08,(EA),0.2075,1.0858142,,[1.06-1.12],CYTH1,Ulcerative colitis,ulcerative colitis,-,GCST003045,17:78741036,26192919,Liu JZ,17,78741036.0
rs2104286-?,4e-08,(subset analysis),NR,-,,-,IL2RA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:6057082,26974007,Ellinghaus D,10,6057082.0
rs11229555-?,4e-08,(subset analysis),NR,-,,-,GLYAT,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:58641214,26974007,Ellinghaus D,11,58641214.0
rs2042011-?,4e-08,(subset analysis),NR,-,,-,"PVT1,RN7SKP226","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,8:128215706,26974007,Ellinghaus D,8,128215706.0
rs1728785-C,4e-08,-,0.767,1.075,,[1.031-1.121],ZFP90,Ulcerative colitis,ulcerative colitis,-,GCST001728,16:68557327,23128233,Jostins L,16,68557327.0
rs7134599-A,4e-08,-,NR,-,0.113,[0.073-0.153],IFNG-AS1,Ulcerative colitis,ulcerative colitis,-,GCST90018933,12:68106295,34594039,Sakaue S,12,68106295.0
rs3194051-G,4e-08,-,0.27,1.07,,[1.02-1.12],IL7R,Ulcerative colitis,ulcerative colitis,-,GCST000964,5:35876172,21297633,Anderson CA,5,35876172.0
rs5771069-G,4e-08,-,0.49,1.17,,[1.11-1.25],IL17REL,Ulcerative colitis,ulcerative colitis,-,GCST000623,22:49997051,20228798,Franke A,22,49997051.0
rs2844458-A,5e-08,-,NR,1.118,,[1.074-1.164],"EHMT2,EHMT2-AS1",Ulcerative colitis,ulcerative colitis,-,GCST90301322,6:31883692,37262302,Khrom M,6,31883692.0
rs13132308-?,5e-08,(subset analysis),NR,-,,-,IL21-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,4:122629959,26974007,Ellinghaus D,4,122629959.0
rs114202211-?,5e-08,(subset analysis),NR,-,,-,HIPK1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:113943285,26974007,Ellinghaus D,1,113943285.0
rs11691685-?,5e-08,(subset analysis),NR,-,,-,TEX41,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:144724260,26974007,Ellinghaus D,2,144724260.0
rs4077515-A,5e-08,-,NR,1.22,,[NR],CARD9,Ulcerative colitis,ulcerative colitis,-,GCST000624,9:136372044,20228799,McGovern DP,9,136372044.0
rs10010281-?,5e-08,-,NR,0.87494,,-,"TET2-AS1,TET2",Ulcerative colitis,ulcerative colitis,-,GCST90446795,4:105184974,37156999,Liu Z,4,105184974.0
rs17771967-G,5e-08,(EA),0.424,1.073007,,[1.05-1.1],"KIR3DL2,RNU6-222P",Ulcerative colitis,ulcerative colitis,-,GCST003045,19:54868759,26192919,Liu JZ,19,54868759.0
rs6920220-A,5e-08,-,NR,1.16,,-,LINC03004,Ulcerative colitis,ulcerative colitis,-,GCST90454275,6:137685367,37002690,Zeng Y,6,137685367.0
rs4795894-?,5e-08,-,NR,-,0.0684,[0.044-0.093],"CCL7,CCL2",Ulcerative colitis,ulcerative colitis,-,GCST90446794,17:34264425,37156999,Liu Z,17,34264425.0
rs602662-G,5e-08,-,0.49,-,,-,FUT2,Pediatric autoimmune diseases,"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis",-,GCST003097,19:48703728,26301688,Li YR,19,48703728.0
rs2836882-A,5e-08,-,0.27,-,,-,"LINC02940,RPL23AP12",Pediatric autoimmune diseases,"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis",-,GCST003097,21:39094644,26301688,Li YR,21,39094644.0
rs6687307-?,5e-08,-,NR,-,0.0853,[0.055-0.116],"PLPP3,LINC01767",Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:56454342,37156999,Liu Z,1,56454342.0
rs4917129-?,6e-08,-,NR,-,0.0637,[0.041-0.087],"IKZF1,SPMIP7",Ulcerative colitis,ulcerative colitis,-,GCST90446794,7:50283578,37156999,Liu Z,7,50283578.0
rs174564-?,6e-08,-,NR,-,0.0642,[0.041-0.088],"FADS1,FADS2",Ulcerative colitis,ulcerative colitis,-,GCST90446794,11:61820833,37156999,Liu Z,11,61820833.0
rs11054935-G,6e-08,(EA),0.2756,1.0779562,,[1.05-1.11],DUSP16,Ulcerative colitis,ulcerative colitis,-,GCST003045,12:12495909,26192919,Liu JZ,12,12495909.0
rs11583043-A,6e-08,(EA),0.2658,1.0797532,,[1.05-1.11],DPH5,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:101000498,26192919,Liu JZ,1,101000498.0
rs559928-G,6e-08,(EA),0.81,1.0923722,,-,"RPS6KA4,LINC02723",Ulcerative colitis,ulcerative colitis,-,GCST003045,11:64382898,26192919,Liu JZ,11,64382898.0
rs7011507-G,6e-08,(EA),0.88,1.1094613,,-,"IDI1P2,UBE2V2",Ulcerative colitis,ulcerative colitis,-,GCST003045,8:48216682,26192919,Liu JZ,8,48216682.0
rs11168249-?,6e-08,-,NR,-,0.0693,[0.044-0.094],HDAC7,Ulcerative colitis,ulcerative colitis,-,GCST90446794,12:47814585,37156999,Liu Z,12,47814585.0
rs2523971-A,6e-08,-,NR,0.918,,[0.89-0.947],POLR1HASP,Ulcerative colitis,ulcerative colitis,-,GCST90301323,6:29970481,37262302,Khrom M,6,29970481.0
rs17085007-C,7e-08,-,0.23,1.35,,[1.21-1.51],"RPS21P8,FGFR1OP2P1",Ulcerative colitis,ulcerative colitis,-,GCST000529,13:26957130,19915573,Asano K,13,26957130.0
rs194746-?,7e-08,-,NR,-,0.062,[0.039-0.085],"MAGOH3P,ZFP36L1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,14:68816170,37156999,Liu Z,14,68816170.0
rs11741861-G,7e-08,(EA),0.07656,1.128044,,[1.08-1.17],"ZNF300,IRGM",Ulcerative colitis,ulcerative colitis,-,GCST003045,5:150898347,26192919,Liu JZ,5,150898347.0
rs78403475-C,7e-08,-,NR,1.19,,[1.117-1.268],GPSM1,Ulcerative colitis,ulcerative colitis,-,GCST90301322,9:136341149,37262302,Khrom M,9,136341149.0
HLA-DRB1*1301-?,7e-08,-,NR,2.1073,,[1.84-2.38],-,Childhood onset ulcerative colitis,ulcerative colitis,-,GCST005815,-,29562276,Venkateswaran S,-,
rs62037369-A,7e-08,-,NR,1.081,,[1.051-1.112],SH2B1,Ulcerative colitis,ulcerative colitis,-,GCST90301323,16:28872520,37262302,Khrom M,16,28872520.0
rs1405108-?,8e-08,(subset analysis),NR,-,,-,"PLCL1,RNU7-147P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:198880294,26974007,Ellinghaus D,2,198880294.0
rs3024493-?,8e-08,-,NR,-,,-,IL10,Ulcerative colitis,ulcerative colitis,-,GCST000527,1:206770623,19915572,Barrett JC,1,206770623.0
rs11627111-?,8e-08,-,NR,-,0.1614,[0.1-0.22],"ELK2AP,IGHA1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,14:105686797,37156999,Liu Z,14,105686797.0
rs11548656-?,8e-08,-,NR,-,,-,PLCG2,Ulcerative colitis,ulcerative colitis,-,GCST004133,16:81883307,28067908,de Lange KM,16,81883307.0
rs4743820-?,8e-08,-,NR,-,0.0658,[0.042-0.09],"LINC00484,LINC02937",Ulcerative colitis,ulcerative colitis,-,GCST90446794,9:91166134,37156999,Liu Z,9,91166134.0
rs1250566-?,8e-08,-,NR,-,0.0646,[0.041-0.088],ZMIZ1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,10:79286696,37156999,Liu Z,10,79286696.0
rs2777491-?,8e-08,(EA),NR,-,,-,RTF1,Ulcerative colitis,ulcerative colitis,-,GCST003045,15:41443512,26192919,Liu JZ,15,41443512.0
rs4598195-A,8e-08,-,NR,1.11,,[NR],"PIGCP2,DLD",Ulcerative colitis,ulcerative colitis,-,GCST000624,7:107862996,20228799,McGovern DP,7,107862996.0
rs13407913-G,9e-08,(EA),0.4306,1.0690905,,[1.04-1.09],ADCY3,Ulcerative colitis,ulcerative colitis,-,GCST003045,2:24874775,26192919,Liu JZ,2,24874775.0
rs28374715-A,9e-08,(EA),0.74,1.0816516,,-,CHP1,Ulcerative colitis,ulcerative colitis,-,GCST003045,15:41271752,26192919,Liu JZ,15,41271752.0
rs2488389-A,9e-08,(EA),0.2092,1.0841732,,[1.05-1.11],DENND1B,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:197662011,26192919,Liu JZ,1,197662011.0
rs10784676-A,1e-07,-,NR,1.112,,[1.069-1.157],IFNG-AS1,Ulcerative colitis,ulcerative colitis,-,GCST90301322,12:68115062,37262302,Khrom M,12,68115062.0
rs980263457-G,1e-07,-,NR,0.892,,[0.855-0.931],OS9,Ulcerative colitis,ulcerative colitis,-,GCST90301321,12:57698305,37262302,Khrom M,12,57698305.0
rs2394966-A,1e-07,-,NR,0.857,,[0.809-0.908],LINC02571,Ulcerative colitis,ulcerative colitis,-,GCST90301321,6:31296134,37262302,Khrom M,6,31296134.0
rs2111485-?,1e-07,-,NR,-,0.0645,[0.04-0.089],"FAP,IFIH1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,2:162254026,37156999,Liu Z,2,162254026.0
rs10041920-?,1e-07,-,NR,-,0.0633,[0.04-0.087],SERINC5,Ulcerative colitis,ulcerative colitis,-,GCST90446794,5:80229545,37156999,Liu Z,5,80229545.0
rs61797472-?,1e-07,-,NR,-,0.0637,[0.04-0.087],ARAP2,Ulcerative colitis,ulcerative colitis,-,GCST90446794,4:36061370,37156999,Liu Z,4,36061370.0
rs7672495-C,1e-07,-,0.18,-,,-,"CYTL1,RN7SKP113",Pediatric autoimmune diseases,"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis",-,GCST003097,4:4990640,26301688,Li YR,4,4990640.0
rs11672983-?,1e-07,-,NR,-,,-,"RNU6-222P,FCAR",Ulcerative colitis,ulcerative colitis,-,GCST004133,19:54871595,28067908,de Lange KM,19,54871595.0
rs907611-?,1e-07,-,NR,-,,-,LSP1,Ulcerative colitis,ulcerative colitis,-,GCST004133,11:1852842,28067908,de Lange KM,11,1852842.0
rs7236492-?,1e-07,(subset analysis),NR,-,,-,NFATC1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,18:79460616,26974007,Ellinghaus D,18,79460616.0
rs2779255-?,1e-07,(subset analysis),NR,-,,-,"LYRM9,NOS2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:27810514,26974007,Ellinghaus D,17,27810514.0
rs11133504-?,1e-07,(Southern European),0.86,1.33,,[1.14-1.59],"SRIP1,LINC02380",Ulcerative colitis,ulcerative colitis,-,GCST002548,4:57514156,25082827,Julià A,4,57514156.0
rs2108225-A,1e-07,-,0.65,1.32,,[1.19-1.47],"DLD,PIGCP2",Ulcerative colitis,ulcerative colitis,-,GCST000529,7:107812658,19915573,Asano K,7,107812658.0
rs17622517-?,1e-07,(subset analysis),NR,-,,-,"CARINH,IRF1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:132467845,26974007,Ellinghaus D,5,132467845.0
rs2930047-G,1e-07,(EA),0.372,1.0703659,,[1.05-1.1],DAP,Ulcerative colitis,ulcerative colitis,-,GCST003045,5:10695414,26192919,Liu JZ,5,10695414.0
rs17293632-A,1e-07,(EA),0.2364,1.0799718,,[1.05-1.11],SMAD3,Ulcerative colitis,ulcerative colitis,-,GCST003045,15:67150258,26192919,Liu JZ,15,67150258.0
rs3116494-G,1e-07,(EA),0.2539,1.080307,,[1.05-1.11],CD28,Ulcerative colitis,ulcerative colitis,-,GCST003045,2:203727298,26192919,Liu JZ,2,203727298.0
rs2026029-?,1e-07,(subset analysis),NR,-,,-,FNDC3A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,13:49021195,26974007,Ellinghaus D,13,49021195.0
rs10750899-?,2e-07,(subset analysis),NR,-,,-,"LPXN,OR5B21","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:58517478,26974007,Ellinghaus D,11,58517478.0
rs11064881-A,2e-07,(EA),0.07342,1.1273501,,[1.08-1.17],CIT,Ulcerative colitis,ulcerative colitis,-,GCST003045,12:119709120,26192919,Liu JZ,12,119709120.0
rs11584383-C,2e-07,-,NR,1.11,,[NR],"MROH3P,KIF21B",Ulcerative colitis,ulcerative colitis,-,GCST000624,1:200966738,20228799,McGovern DP,1,200966738.0
rs5771069-G,2e-07,-,0.51,1.11,,[1.07-1.16],IL17REL,Ulcerative colitis,ulcerative colitis,-,GCST000964,22:49997051,21297633,Anderson CA,22,49997051.0
rs4957048-?,2e-07,-,NR,-,,-,CEP72-DT,Ulcerative colitis,ulcerative colitis,-,GCST004133,5:583327,28067908,de Lange KM,5,583327.0
rs9938250-?,2e-07,-,NR,-,0.083,[0.052-0.114],WWOX,Ulcerative colitis,ulcerative colitis,-,GCST90446794,16:78768798,37156999,Liu Z,16,78768798.0
rs7404095-?,2e-07,-,NR,-,,-,PRKCB,Ulcerative colitis,ulcerative colitis,-,GCST004133,16:23853269,28067908,de Lange KM,16,23853269.0
rs7746082-C,2e-07,(EA),0.2869,1.0753639,,[1.05-1.1],"PRDM1,RN7SKP211",Ulcerative colitis,ulcerative colitis,-,GCST003045,6:105987394,26192919,Liu JZ,6,105987394.0
rs11669443-?,2e-07,-,NR,-,0.0725,[0.045-0.1],SBNO2,Ulcerative colitis,ulcerative colitis,-,GCST90446794,19:1109216,37156999,Liu Z,19,1109216.0
rs913678-?,2e-07,-,NR,-,0.0638,[0.04-0.088],"RN7SL636P,LINC01271",Ulcerative colitis,ulcerative colitis,-,GCST90446794,20:50338887,37156999,Liu Z,20,50338887.0
rs38902-?,2e-07,-,NR,-,0.0624,[0.039-0.086],"MTND4P6,ST7",Ulcerative colitis,ulcerative colitis,-,GCST90446794,7:117249664,37156999,Liu Z,7,117249664.0
rs12440543-?,2e-07,-,NR,-,0.0676,[0.042-0.093],"ABHD17C,RNU6-380P",Ulcerative colitis,ulcerative colitis,-,GCST90446794,15:80675204,37156999,Liu Z,15,80675204.0
rs76380568-?,2e-07,-,NR,-,0.1327,[0.082-0.183],"ITGB8,EEF1A1P27",Ulcerative colitis,ulcerative colitis,-,GCST90446794,7:20542073,37156999,Liu Z,7,20542073.0
rs12543811-?,2e-07,-,NR,0.82,,[0.76-0.88],"RNU6-1213P,RPL13AP18",Crohn's disease vs ulcerative colitis,"ulcerative colitis,Crohn's disease",-,GCST90179177,8:80366650,36164742,Jung S,8,80366650.0
rs2239802-?,2e-07,(Adults),NR,1.7715251,,[1.43-2.19],HLA-DRA,Ulcerative colitis,ulcerative colitis,-,GCST003960,6:32444069,28008999,Ostrowski J,6,32444069.0
rs2395128-?,2e-07,-,NR,1.5446734,,[1.31-1.82],DUSP29,Ulcerative colitis,ulcerative colitis,-,GCST003960,10:75052692,28008999,Ostrowski J,10,75052692.0
rs1736135-T,2e-07,-,NR,1.06,,[NR],"LINC02920,CYCSP42",Ulcerative colitis,ulcerative colitis,-,GCST000624,21:15432901,20228799,McGovern DP,21,15432901.0
rs114846446-A,2e-07,-,0.01,-,,-,LINC01250,Pediatric autoimmune diseases,"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,psoriasis,ankylosing spondylitis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis",-,GCST003097,2:2944140,26301688,Li YR,2,2944140.0
rs201014116-?,2e-07,(subset analysis),NR,-,,-,DNMT3A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:25278036,26974007,Ellinghaus D,2,25278036.0
rs6584283-?,2e-07,-,NR,-,,-,LINC01475,Ulcerative colitis,ulcerative colitis,-,GCST000527,10:99530544,19915572,Barrett JC,10,99530544.0
rs1049526-?,3e-07,(Adults),NR,2.697503,,[1.87-3.90],BRD2,Ulcerative colitis,ulcerative colitis,-,GCST003960,6:32981027,28008999,Ostrowski J,6,32981027.0
rs9847710-G,3e-07,(EA),0.4118,1.067568,,[1.04-1.09],SFMBT1,Ulcerative colitis,ulcerative colitis,-,GCST003045,3:53028645,26192919,Liu JZ,3,53028645.0
rs2538470-A,3e-07,(EA),0.3622,1.0682071,,[1.04-1.09],"RN7SL72P,RPL32P17",Ulcerative colitis,ulcerative colitis,-,GCST003045,7:148523356,26192919,Liu JZ,7,148523356.0
rs6946352-G,3e-07,-,0.045,3.2,,-,BZW2,Ulcerative colitis,ulcerative colitis,-,GCST90020072,7:16666924,35232999,Garcia-Etxebarria K,7,16666924.0
rs28374715-?,3e-07,-,NR,-,,-,CHP1,Ulcerative colitis,ulcerative colitis,-,GCST004133,15:41271752,28067908,de Lange KM,15,41271752.0
rs652888-G,3e-07,-,NR,0.879,,[0.837-0.924],"EHMT2,EHMT2-AS1",Ulcerative colitis,ulcerative colitis,-,GCST90301322,6:31883457,37262302,Khrom M,6,31883457.0
rs17085007-C,3e-07,-,0.17,1.37,,[1.22-1.55],"RPS21P8,FGFR1OP2P1",Ulcerative colitis,ulcerative colitis,-,GCST001934,13:26957130,23511034,Yang SK,13,26957130.0
rs3740415-A,3e-07,(EA),0.53,1.0690618,,-,"ACTR1A,MFSD13A",Ulcerative colitis,ulcerative colitis,-,GCST003045,10:102472959,26192919,Liu JZ,10,102472959.0
rs11742570-?,3e-07,-,NR,-,,-,"RNU1-150P,TTC33",Ulcerative colitis,ulcerative colitis,-,GCST004133,5:40410482,28067908,de Lange KM,5,40410482.0
rs11168249-?,3e-07,-,NR,-,,-,HDAC7,Ulcerative colitis,ulcerative colitis,-,GCST004133,12:47814585,28067908,de Lange KM,12,47814585.0
rs9548988-T,3e-07,-,0.46,1.1,,[1.03-1.19],"SNORD116,LINC00598",Ulcerative colitis,ulcerative colitis,-,GCST000527,13:39931373,19915572,Barrett JC,13,39931373.0
rs9585037-?,3e-07,-,NR,-,0.082,[0.05-0.114],UBAC2,Ulcerative colitis,ulcerative colitis,-,GCST90446794,13:99348586,37156999,Liu Z,13,99348586.0
rs12232497-C,3e-07,-,0.45,-,,-,"ZPBP2,GSDMB",Pediatric autoimmune diseases,"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis",-,GCST003097,17:39883866,26301688,Li YR,17,39883866.0
rs1470831-?,3e-07,-,NR,-,0.0746,[0.046-0.103],SKAP1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,17:48268286,37156999,Liu Z,17,48268286.0
rs12879003-?,3e-07,(subset analysis),NR,-,,-,"RPLP0P3,PSMA6","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,14:35359535,26974007,Ellinghaus D,14,35359535.0
rs8061882-?,3e-07,(subset analysis),NR,-,,-,CLEC16A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:11067551,26974007,Ellinghaus D,16,11067551.0
rs111305875-?,3e-07,(subset analysis),NR,-,,-,"CCR6,CEP43","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:167098098,26974007,Ellinghaus D,6,167098098.0
rs7524102-A,3e-07,-,0.83,1.1,,[1.00-1.21],"PPIAP34,ZBTB40",Ulcerative colitis,ulcerative colitis,-,GCST000527,1:22371954,19915572,Barrett JC,1,22371954.0
rs11230563-?,4e-07,-,NR,-,0.0653,[0.04-0.091],CD6,Ulcerative colitis,ulcerative colitis,-,GCST90446794,11:61008737,37156999,Liu Z,11,61008737.0
rs79493594-?,4e-07,(subset analysis),NR,-,,-,PKIG,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,20:44561731,26974007,Ellinghaus D,20,44561731.0
rs10510607-?,4e-07,(subset analysis),NR,-,,-,CMC1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,3:28244770,26974007,Ellinghaus D,3,28244770.0
rs2359952-A,4e-07,-,0.6,1.31,,[1.13-1.51],PTPRC,Ulcerative colitis,ulcerative colitis,-,GCST002453,1:198687278,24837172,Juyal G,1,198687278.0
rs1004234-?,4e-07,(subset analysis),NR,-,,-,"LINC02863,CARINH","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:132421409,26974007,Ellinghaus D,5,132421409.0
rs587259-?,4e-07,(subset analysis),NR,-,,-,"CHCHD2P3,LSM14A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,19:34165501,26974007,Ellinghaus D,19,34165501.0
